CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11000,MR.,JON,YANG,4/8/1966,M,M,Jon24@Adventure-Works.Com,90000,2,Bachelors,Professional,Y
11001,MR.,  EUGENE,HUANG,5/14/1965,S,M,Eugene10@Adventure-Works.Com,60000,3,Bachelors,Professional,N
11002,MR.,RUBEN,TORRES,8/12/1965,M,M,Ruben35@Adventure-Works.Com,60000,3,Bachelors,Professional,Y
11003,MS.,CHRISTY,ZHU,2/15/1968,S,F,Christy12@Adventure-Works.Com,70000,,Bachelors,Professional,N
11004,MRS., ELIZABETH, JOHNSON,8/8/1968,S,F,Elizabeth5@Adventure-Works.Com,80000,5,Bachelors,Professional,Y
11005,MR.,JULIO,RUIZ,8/5/1965,S,M,Julio1@Adventure-Works.Com,70000,,Bachelors,professional,Y
11007,MR.,MARCO, MEHTA,5/9/1964,M,M,Marco14@Adventure-Works.Com,60000,3,Bachelors,professional,y
11008,MRS.,ROBIN,VERHOFF,7/7/1964,S,F,Rob4@Adventure-Works.Com,60000,4,Bachelors,Professional,y
11009,MR.,SHANNON,  CARLSON,4/1/1964,S,Male,Shannon38@Adventure-Works.Com,70000,,Bachelors,Professional,N
,MS.,SAMANTHA,LONG,12/5/1975,M,F,Samantha35@Adventure-Works.Com,40000,,HighSchool,Skilled Manual,Y
11010,MS., JACQUELYN,SUAREZ,2/6/1964,S,Female,Jacquelyn20@Adventure-Works.Com,70000,,Bachelors,Professional,N
11011,MR.,CURTIS,LU,11/4/1963,M,M,Curtis9@Adventure-Works.Com,60000,4,Bachelors,professional,Y
11012,MRS.,LAUREN,WALKER,1/18/1968,M,F,Lauren41@Adventure-Works.Com,100000,2,Bachelors,Management,Y
11013,MR.,IAN, JENKINS,8/6/1968,M,M,Ian47@Adventure-Works.Com,100000,2,Bachelors,Managenent,Y
11014,MRS.,SYDNEY,BENNETT,5/9/1968,S,Female,Sydney23@Adventure-Works.Com,100000,3,Bachelors,Management,N
11014,MRS.,SYDNEY,BENNETT,5/9/1968,S,Female,Sydney23@Adventure-Works.Com,100000,3,Bachelors,Management,N
11015,MS.,CHLOE, YOUNG,2/27/1979,S,F,Chloe23@Adventure-Works.Com,30000,,Partial College,Skilled Manual,N
11015,MS.,CHLOE, YOUNG,2/27/1979,S,F,Chloe23@Adventure-Works.Com,30000,,Partial College,Skilled Manual,N
